t_code,t_type,depart_sta,arrive_sta,depart_ts,arrive_ts
G5820,动感号,香港西九龙,福田,07:08,07:22
G6382,复,香港西九龙,福田,07:25,07:39
G5636,动感号,香港西九龙,福田,07:36,07:50
G5822,动感号,香港西九龙,福田,08:12,08:26
G5812,动感号,香港西九龙,福田,09:15,09:29
G5816,动感号,香港西九龙,福田,10:20,10:34
G5818,动感号,香港西九龙,福田,11:24,11:38
G6556,N/A,香港西九龙,福田,12:21,12:35
G6516,复,香港西九龙,福田,12:26,12:40
G5858,动感号,香港西九龙,福田,12:31,12:45
G5644,动感号,香港西九龙,福田,12:41,12:55
G5802,复,香港西九龙,福田,12:55,13:09
G6530,复,香港西九龙,福田,13:23,13:37
G5808,动感号,香港西九龙,福田,13:28,13:42
G6536,复,香港西九龙,福田,13:45,13:59
G5804,复,香港西九龙,福田,14:03,14:17
G5810,动感号,香港西九龙,福田,14:36,14:50
G5860,动感号,香港西九龙,福田,14:43,14:57
G6542,复,香港西九龙,福田,15:08,15:22
G5606,复,香港西九龙,福田,15:20,15:34
G5806,动感号,香港西九龙,福田,15:25,15:39
G5828,动感号,香港西九龙,福田,16:25,16:39
G6538,复,香港西九龙,福田,17:07,17:21
G5814,动感号,香港西九龙,福田,17:12,17:26
G5830,动感号,香港西九龙,福田,17:33,17:47
G5862,动感号,香港西九龙,福田,18:33,18:47
G5832,动感号,香港西九龙,福田,19:01,19:15
G6588,动感号,香港西九龙,福田,20:01,20:15
G5824,动感号,香港西九龙,福田,20:07,20:21
G5614,复,香港西九龙,福田,20:42,20:56
G5826,动感号,香港西九龙,福田,21:15,21:29
G5604,复,香港西九龙,福田,21:46,22:00
